year,TotalCurrentAssets,OtherNonCurrentAssets,PropertyPlantEquipmentNet,TotalAssets,TotalCurrentLiabilities,LongTermDebtCapitalLeases,OtherNonCurrentLiabilities,TotalShareholdersEquity,TotalLiabilitiesAndShareholdersEquity
2018,2962500,1844000,3629500,8436000,2390500,2555000,955500,2535000,8436000
2017,3039500,1767000,3725500,8532000,2512500,2538000,1056500,2425000,8532000
2016,2859000,1876500,3520000,8255500,2408500,2399000,1085500,2362500,8255500
2015,3070500,1760500,3388500,8219500,2478500,2560000,1110000,2071000,8219500
2014,3862000,1616000,3576500,9054500,2368000,3108000,1365000,2213500,9054500
2013,4322000,781500,3660000,8763500,2512500,3081000,1947500,1222500,8763500
2012,4249000,759500,3478000,8486500,2661000,2444000,2802000,579500,8486500
2011,4906000,721000,3187500,8814500,2964500,2394500,2643500,812000,8814500
2010,4022500,710000,3082500,7815000,2653500,2159500,2249500,752500,7815000
2009,3612500,671000,2921500,7205000,2047500,2091000,2277000,789500,7205000
2008,4170000,626000,2817000,7613000,2389500,2066000,2646500,511000,7613000
2007,5086000,710500,2799000,8595500,2332000,2164500,2674000,1425000,8595500
2006,5089500,736500,2688500,8514500,2333000,3281500,3279000,-379000,8514500
2005,4340000,884000,2589500,7813500,2405500,2371000,3000500,36500,7813500
2004,4315850,1223200,2727600,8266650,2556550,2224550,3449150,36400,8266650
